ID,X,Y,Z,Node,Drawdown_p,Drawdown_r
1,263865.6759,2743783.351,159.0539885,5848,-0.139200387,-0.032607395
2,263773.0215,2743822.869,141.4346586,6566,-0.203498983,-0.102373323
3,263668.635,2743790.531,136.7925098,6733,-0.179024659,-0.118274674
4,263216.0373,2744133.919,122.8788787,7223,-0.070838224,-0.063475154
5,263303.2942,2743999.143,121.3430698,7306,-0.066789949,-0.058332226
6,263545.5599,2743838.107,120.557846,7362,-0.128451166,-0.105679471
7,263738.2578,2743930.031,119.4188066,7448,-0.287672583,-0.191079838
8,263620.4509,2743948.86,118.8626942,7486,-0.282138548,-0.2051228
9,263966.7176,2743885.019,117.3636677,7609,-0.176606492,-0.072094271
10,263662.8822,2744001.916,116.278563,7693,-0.448017968,-0.358927225
11,263842.9547,2743921.076,115.1545058,7775,-0.288411347,-0.155662575
12,263588.2108,2744022.647,114.4619483,7843,-0.515011677,-0.363866983
13,263804.2448,2744016.444,114.0071824,7888,-0.513914848,-0.365892951
14,263754.7792,2744035.708,113.8508071,7910,-0.662516723,-0.469758321
15,263705.3135,2744054.971,113.6944318,7934,-0.757802949,-0.557395335
16,263667.9778,2744065.337,112.7861245,8030,-0.852875212,-0.609493399
17,263730.4275,2744074.717,112.782225,8031,-0.931917355,-0.69072963
18,263866.5866,2744029.315,112.2663231,8089,-0.489076739,-0.324029603
19,263805.0072,2744075.199,112.0263934,8117,-0.798477334,-0.574000098
20,263630.6421,2744075.702,111.8778171,8137,-0.846687757,-0.606635754
21,263755.5416,2744094.463,111.8700182,8138,-1.02145234,-0.796300262
22,263697.2452,2744090.756,111.4623607,8196,-1.063631958,-0.820641297
23,263593.3064,2744086.068,110.9695098,8275,-0.791075409,-0.569543115
24,263780.6556,2744114.209,110.9578113,8277,-1.162760068,-0.915081474
25,263659.9094,2744101.122,110.5540533,8342,-1.169236908,-0.871134428
26,263722.3592,2744110.502,110.5501538,8343,-1.287210782,-1.025273456
27,263928.9285,2744042.186,110.5254638,8350,-0.347165633,-0.189813791
28,263867.349,2744088.07,110.2855341,8395,-0.678558025,-0.471527768
29,263555.9706,2744096.433,110.0612025,8433,-0.69566555,-0.487542099
30,263805.7696,2744133.955,110.0456045,8434,-1.234961969,-0.950728878
31,263622.5737,2744111.487,109.645746,8499,-1.151921893,-0.843051951
32,263747.4732,2744130.248,109.637947,8501,-1.559366046,-1.234004659
33,263430.3891,2743912.777,109.6188438,8504,-0.088961462,-0.073637022
34,263689.1768,2744126.541,109.2302895,8560,-1.616767977,-1.246904603
35,264053.8432,2744126.43,109.164516,8571,-0.181269252,-0.133381383
36,263585.238,2744121.853,108.7374387,8657,-1.034208875,-0.7487332
37,263772.5872,2744149.994,108.7257402,8659,-1.737278299,-1.392893287
38,263836.6307,2744148.609,108.3868872,8707,-1.192819595,-0.872831239
39,263519.8099,2743964.143,108.3487251,8715,-0.199507738,-0.155941814
40,263651.8411,2744136.907,108.3219822,8723,-1.688977517,-1.280888554
41,263714.2908,2744146.287,108.3180827,8725,-2.025597151,-1.626953117
42,263275.2493,2744158.885,108.1787946,8740,-0.092399346,-0.081785179
43,263804.9861,2744165.862,107.8741313,8806,-1.662223553,-1.298214305
44,263614.5054,2744147.272,107.4136749,8877,-1.560595495,-1.174879739
45,263739.4048,2744166.033,107.4058759,8878,-2.493976425,-2.019701742
46,263549.1075,2744139.007,107.3753885,8885,-0.923666375,-0.674943268
47,263681.1084,2744162.326,106.9982184,8956,-2.531766769,-1.954726895
48,263929.0712,2744117.379,106.9680994,8968,-0.502526197,-0.322115573
49,263867.4918,2744163.263,106.7281698,9020,-0.983040016,-0.694135328
50,263771.8038,2744181.901,106.554267,9042,-2.519080924,-2.057038936
51,263835.8472,2744180.516,106.2154139,9090,-1.463564098,-1.089340244
52,263643.7727,2744172.692,106.0899111,9110,-2.499437373,-1.883462903
53,263706.2225,2744182.072,106.0860116,9111,-3.440639883,-2.678814568
54,263578.3749,2744164.427,106.0516247,9120,-1.39149101,-1.054346275
55,263804.2027,2744197.769,105.702658,9203,-2.235885431,-1.775952173
56,263515.6539,2744123.6,105.6770598,9204,-0.635343645,-0.448606044
57,263485.9225,2744077.77,105.3518415,9261,-0.39127069,-0.285074874
58,263738.6214,2744197.94,105.2344027,9283,-3.830426145,-3.197433795
59,263673.0401,2744198.111,104.7661473,9359,-4.110702341,-3.051456463
60,263607.6423,2744189.846,104.7278609,9365,-2.209364533,-1.724788101
61,263542.2444,2744181.581,104.6895745,9372,-1.139119222,-0.878253429
62,263866.7083,2744195.171,104.5566966,9398,-1.218698365,-0.834239357
63,263345.5618,2744108.996,104.4106375,9448,-0.120350509,-0.102602528
64,263771.0203,2744213.808,104.3827937,9455,-3.571449384,-3.046430138
65,263835.0638,2744212.423,104.0439407,9529,-1.773142954,-1.347709793
66,263705.439,2744213.979,103.9145383,9550,-6.163797806,-4.085834089
67,263803.4192,2744229.676,103.5311848,9622,-2.920966432,-2.254759765
68,263929.214,2744192.572,103.4107351,9651,-0.576595621,-0.366592866
69,263636.9096,2744215.266,103.4040971,9656,-3.811118319,-2.831132631
70,263571.5118,2744207,103.3658107,9663,-1.751573082,-1.422907434
71,263737.8379,2744229.848,103.0629294,9730,-6.330561725,-5.5885084
72,263508.7908,2744166.174,102.9912458,9745,-0.726201576,-0.550640774
73,263670.8506,2744229.851,102.9582338,9756,-7.103119258,-4.540779085
74,263865.9249,2744227.078,102.3852234,9894,-1.3134835,-0.929307898
75,263770.2368,2744245.716,102.2113205,9931,-4.815015159,-3.914358011
76,263850.1026,2744235.704,102.1288454,9952,-1.600105859,-1.211476076
77,263703.2496,2744245.719,102.1066249,9956,-15.65192812,-8.336389338
78,263600.7792,2744232.42,102.0420469,9972,-2.896678123,-2.474650635
