ID,X,Y,Z,Node,FINIT,FINIT_U,Drawdown
1,265179.9925,2744039.269,101.6649711,10075,100.8859387,m,3.121653144
2,265264.7785,2744015.048,101.1570679,10200,101.2503133,m,2.473291454
3,265289.9934,2743995.241,101.1143096,10213,101.3973753,m,2.522353039
4,265229.4054,2743998.956,99.42149039,10683,101.1667281,m,3.463401135
5,265254.6203,2743979.148,99.37873204,10691,101.3101167,m,3.245904762
6,265279.8353,2743959.341,99.33597369,10703,101.4637525,m,2.991052758
7,265305.4446,2743940.301,99.02866383,10793,101.6304101,m,2.816365457
8,264990.2024,2743777.083,98.56198062,10938,100.8844607,m,3.403555748
9,264977.8489,2743835.774,97.94594198,11151,100.8235951,m,3.495574756
10,265003.8664,2743812.866,97.82133235,11190,100.8830822,m,3.601353805
11,265029.8839,2743789.959,97.69672272,11245,100.9451631,m,3.620757448
12,265194.0324,2743982.863,97.68591287,11247,101.0829104,m,4.26741066
13,265219.2473,2743963.056,97.64315452,11262,101.2206993,m,4.136369583
14,265244.4622,2743943.248,97.60039617,11287,101.3751077,m,3.720099241
15,265269.6771,2743923.441,97.55763782,11302,101.5504169,m,3.294218729
16,265052.8923,2743759.781,97.53094451,11319,101.0064022,m,3.541250957
17,265301.7415,2743813.605,97.50568104,11330,101.7651229,m,2.938685636
18,265075.9007,2743729.604,97.3651663,11393,101.0708073,m,3.447745214
19,265295.2865,2743904.401,97.25032796,11427,101.7497544,m,2.977747436
20,264991.5129,2743871.557,97.20529372,11448,100.8215394,m,3.654074379
21,265017.5304,2743848.65,97.08068408,11491,100.8841187,m,3.822714733
22,264963.121,2743894.139,97.04503674,11509,100.7527455,m,3.436734014
23,265251.0721,2743755.983,96.96326148,11546,101.5899293,m,3.145442986
24,265043.548,2743825.742,96.95607445,11547,100.949562,m,3.917515005
25,265262.8954,2743793.819,96.83495348,11590,101.6428734,m,3.16716245
26,265069.5655,2743802.834,96.83146482,11592,101.0185847,m,3.908276365
27,265144.0634,2743732.901,96.82885012,11594,101.2464368,m,3.462520433
28,265118.3186,2743752.779,96.74726836,11616,101.1664201,m,3.608687624
29,265274.7186,2743831.655,96.70664549,11628,101.6878927,m,3.140985871
30,265092.5738,2743772.657,96.66568661,11646,101.0890023,m,3.732012314
31,265286.5419,2743869.491,96.57833749,11682,101.7280329,m,3.065224648
32,265005.177,2743907.34,96.46464545,11725,100.8211716,m,3.763668612
33,265018.7703,2743943.419,96.45273257,11728,100.7628357,m,3.780376853
34,265032.3636,2743979.497,96.4408197,11734,100.6552487,m,3.538617272
35,265045.9569,2744015.576,96.42890683,11738,100.5447318,m,3.149463836
36,265059.5503,2744051.654,96.41699395,11746,100.4420277,m,2.678550709
37,265031.1945,2743884.433,96.34003582,11779,100.8884477,m,4.042320806
38,265043.5476,2743922.198,96.33606792,11780,100.901458,m,4.311853288
39,265057.1409,2743958.276,96.32415505,11786,100.792185,m,4.170913261
40,265070.7342,2743994.355,96.31224217,11792,100.6819274,m,3.78446618
41,265084.3275,2744030.433,96.3003293,11794,100.5920673,m,3.210963605
42,265212.2261,2743736.198,96.29253393,11802,101.4483093,m,3.26089839
43,265057.212,2743861.525,96.21542619,11832,100.9579109,m,4.251594679
44,265069.5651,2743899.29,96.21145829,11835,100.9630282,m,4.65494882
45,265186.4813,2743756.076,96.21095218,11836,101.3656129,m,3.49860511
46,265081.9182,2743937.055,96.2074904,11838,100.9532634,m,5.086124693
47,265095.5115,2743973.134,96.19557752,11840,100.8223572,m,4.646261076
48,265109.1048,2744009.212,96.18366465,11843,100.7373458,m,3.843960343
49,265224.0493,2743774.034,96.16422593,11856,101.5038686,m,3.384927917
50,265160.7365,2743775.954,96.12937043,11868,101.2791535,m,3.758003736
51,265083.2295,2743838.618,96.09081656,11887,101.0307668,m,4.335509485
