ID,X,Y,Z,Node,FINIT,FINIT_U,Drawdown
1,262186.289,2744920.663,83.11625075,16479,85.31277777,m,0.446254885
2,262216.4208,2744929.038,82.93933108,16519,85.4203524,m,0.429492817
3,262029.335,2744931.31,82.84143561,16539,84.44333452,m,0.408593237
4,262060.1421,2744935.08,82.77058073,16565,84.59623499,m,0.456260645
5,262246.5525,2744937.412,82.7624114,16567,85.50969066,m,0.409440237
6,262090.9491,2744938.85,82.69972585,16580,84.74794318,m,0.507754415
7,262121.7561,2744942.621,82.62887096,16611,84.90945666,m,0.539625403
8,262276.6842,2744945.786,82.58549173,16623,85.58368616,m,0.389394136
9,262152.5631,2744946.391,82.55801608,16628,85.06943403,m,0.545414592
10,262182.6948,2744954.766,82.3810964,16692,85.2006126,m,0.53947006
11,262212.8266,2744963.14,82.20417673,16739,85.31478876,m,0.504335171
12,262242.9583,2744971.514,82.02725706,16795,85.40972884,m,0.458645558
13,262043.6519,2744959.205,81.96506915,16815,84.44009552,m,0.478634211
14,262074.459,2744962.975,81.89421427,16839,84.59224694,m,0.548628522
15,262273.0901,2744979.889,81.85033739,16855,85.48744534,m,0.422380557
16,262105.266,2744966.746,81.82335938,16864,84.75157621,m,0.613406709
17,262136.073,2744970.516,81.7525045,16888,84.91572401,m,0.642734357
18,262015.6762,2744962.532,81.73762828,16897,84.28301053,m,0.43119779
19,262161.1276,2744980.29,81.73598018,16898,85.02921157,m,0.65697392
20,261984.7678,2744959.136,81.72353414,16901,84.12931856,m,0.378274474
21,262191.2594,2744988.665,81.55906051,16953,85.15796488,m,0.618809447
22,262221.3911,2744997.039,81.38214083,17018,85.2603745,m,0.53816264
23,262251.5228,2745005.414,81.20522116,17082,85.36151309,m,0.468572579
24,262057.9689,2744987.101,81.08870269,17113,84.41869237,m,0.570317062
25,262088.7759,2744990.871,81.0178478,17136,84.57881324,m,0.673075016
26,262119.5829,2744994.641,80.94699292,17156,84.74920409,m,0.750311381
27,262144.6375,2745004.415,80.9304686,17162,84.87729831,m,0.745764764
28,262169.6921,2745014.19,80.91394428,17168,85.02420182,m,0.77275343
29,262029.9931,2744990.427,80.86126181,17187,84.26221691,m,0.502149712
30,262281.3803,2745010.877,80.79305272,17216,85.43520133,m,0.437108254
31,262199.8239,2745022.564,80.73702461,17236,85.08145029,m,0.642860307
32,262002.0173,2744993.754,80.63382094,17269,84.10682762,m,0.446063825
33,261971.1089,2744990.358,80.61972681,17274,83.93936611,m,0.39404365
34,262229.9556,2745030.939,80.56010493,17298,85.18824063,m,0.545544311
35,262072.2858,2745014.996,80.21233622,17434,84.38346121,m,0.669587238
36,262259.813,2745036.402,80.14793649,17462,85.29621087,m,0.486233128
37,262103.0928,2745018.766,80.14148134,17463,84.55476041,m,0.855895738
38,262128.1474,2745028.541,80.12495702,17471,84.68573884,m,1.012029891
39,262153.202,2745038.315,80.1084327,17480,84.83868464,m,1.108289364
40,262178.2567,2745048.089,80.09190838,17492,85.01400432,m,0.697050575
41,262044.31,2745018.323,79.98489535,17535,84.23234801,m,0.567840452
42,262208.3884,2745056.463,79.91498871,17563,85.05683988,m,0.608277867
43,262016.3342,2745021.65,79.75745448,17625,84.09589873,m,0.500534969
44,262289.6705,2745041.865,79.73576805,17630,85.38812081,m,0.441707699
